City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Nhamunda,BR,2023-02-26 06:02:14,-2.1861,-56.7131,70.81,98,100,1.54
138,El Viejo,NI,2023-02-26 06:02:15,12.6633,-87.1672,77.4,57,11,11.25
139,Akkermanovka,RU,2023-02-26 06:02:15,51.2467,58.2391,19.18,79,100,8.9
140,Bengkulu,ID,2023-02-26 05:57:18,-3.8004,102.2655,85.3,63,76,8.95
141,Bereda,ES,2023-02-26 06:02:16,43.2686,-7.5406,36.41,100,56,1.97
142,Real,PH,2023-02-26 06:02:17,14.6625,121.6047,76.93,90,75,19.86
143,Pavlodar,KZ,2023-02-26 06:02:17,52.3,76.95,15.6,67,0,17.9
144,Souillac,MU,2023-02-26 06:02:18,-20.5167,57.5167,80.98,78,40,8.05
145,Royan,FR,2023-02-26 06:02:19,45.6285,-1.0281,35.82,80,7,18.75
146,Luderitz,NA,2023-02-26 06:02:19,-26.6481,15.1594,63.84,69,0,15.79
147,Morant Bay,JM,2023-02-26 06:02:20,17.8815,-76.4093,76.62,81,11,11.36
148,Porto Novo,BJ,2023-02-26 06:02:20,6.4965,2.6036,78.49,90,47,5.01
149,Porangatu,BR,2023-02-26 06:00:38,-13.4408,-49.1486,70.02,95,65,3.18
150,Dwarka,IN,2023-02-26 06:00:13,22.2394,68.9678,77.83,52,1,9.01
151,Necochea,AR,2023-02-26 06:02:22,-38.5473,-58.7368,58.98,57,2,5.59
152,Surt,LY,2023-02-26 06:02:22,31.2089,16.5887,63.99,60,100,2.73
153,Boras,SE,2023-02-26 06:02:23,57.721,12.9401,25.56,87,7,7.11
154,Tonota,BW,2023-02-26 06:02:23,-21.4833,27.4833,71.4,72,27,13.6
155,Gamboula,CF,2023-02-26 06:02:24,4.1178,15.1393,71.92,78,100,3.89
156,Lebu,CL,2023-02-26 06:02:25,-37.6167,-73.65,53.82,80,9,17.36
157,Santa Helena De Goias,BR,2023-02-26 06:02:25,-17.8136,-50.5969,69.89,94,95,2.55
158,Najran,SA,2023-02-26 06:02:26,17.4924,44.1277,72.25,23,63,2.01
159,Tres Passos,BR,2023-02-26 06:00:21,-27.4556,-53.9319,67.44,61,53,2.3
160,Cariati,IT,2023-02-26 06:02:27,39.4922,16.9594,55.44,80,50,7.63
161,Nurota,UZ,2023-02-26 06:02:28,40.5614,65.6886,41.58,48,0,5.57
162,Mogadishu,SO,2023-02-26 06:00:22,2.0371,45.3438,80.47,83,40,11.5
163,Buraydah,SA,2023-02-26 05:58:57,26.326,43.975,61.25,22,2,9.84
164,Mizdah,LY,2023-02-26 06:02:29,31.4451,12.9801,52.95,42,52,9.35
165,Lagoa,PT,2023-02-26 06:02:30,39.05,-27.9833,61.43,89,96,30.53
166,Izmit,TR,2023-02-26 05:59:10,40.7669,29.9169,56.41,49,81,4.56
167,Petrolina,BR,2023-02-26 05:59:16,-9.3986,-40.5008,77.05,78,75,2.3
168,Kaduy,RU,2023-02-26 06:02:31,59.2,37.15,29.89,96,100,12.1
169,Riyadh,SA,2023-02-26 05:58:55,24.6877,46.7219,66.34,17,34,9.82
170,Moose Factory,CA,2023-02-26 06:02:32,51.2585,-80.6094,6.8,85,75,11.5
171,Cleves,DE,2023-02-26 06:02:33,51.7833,6.15,31.08,75,5,10.45
172,Fulton,US,2023-02-26 06:02:33,33.7668,-84.4499,62.92,86,100,8.05
173,Cristalina,BR,2023-02-26 06:02:34,-16.7686,-47.6136,65.01,89,100,2.48
174,Coquimbo,CL,2023-02-26 06:02:35,-29.9533,-71.3436,62.33,88,0,4.61
175,Mantua,IT,2023-02-26 06:02:35,45.1667,10.7833,45.64,74,99,20.0
176,Khor,RU,2023-02-26 06:02:36,47.8861,134.9464,16.16,74,11,5.59
177,Moba,CN,2023-02-26 06:02:36,33.2288,105.0179,39.0,87,100,5.73
178,Sao Filipe,CV,2023-02-26 06:02:37,14.8961,-24.4956,69.93,74,74,6.76
179,Bambous Virieux,MU,2023-02-26 06:02:37,-20.3428,57.7575,83.21,78,40,8.05
180,Tabory,RU,2023-02-26 06:03:38,58.5198,64.5495,20.82,90,100,5.93
181,Tambovka,RU,2023-02-26 06:03:39,50.0969,128.0489,27.19,87,11,11.7
182,Tsimlyansk,RU,2023-02-26 06:03:39,47.6461,42.1019,37.47,68,100,10.42
183,Voyvozh,RU,2023-02-26 06:03:40,62.892,54.9635,8.33,98,98,3.27
184,Porbandar,IN,2023-02-26 06:03:40,21.6422,69.6093,81.27,39,3,5.57
185,Guaca,CO,2023-02-26 06:03:41,6.8762,-72.8559,58.68,80,70,0.83
186,Esna,EG,2023-02-26 06:03:41,25.2934,32.554,51.82,39,0,7.67
187,Platanos,GR,2023-02-26 06:03:42,37.6667,21.6167,61.45,59,90,13.09
188,Klaksvik,FO,2023-02-26 06:03:43,62.2266,-6.589,43.72,73,99,10.78
189,Voi,KE,2023-02-26 06:03:43,-3.3945,38.563,76.64,64,65,3.91
190,Neuquen,AR,2023-02-26 06:02:49,-38.9516,-68.0591,62.49,39,0,14.97
191,Ballina,AU,2023-02-26 06:03:44,-28.8667,153.5667,83.01,70,71,12.19
192,Kamenka,RU,2023-02-26 06:03:45,51.3223,42.7678,34.72,97,100,18.21
193,Mitsamiouli,KM,2023-02-26 06:03:45,-11.3847,43.2844,82.35,75,100,10.67
194,Ekibastuz,KZ,2023-02-26 06:03:46,51.6667,75.3667,16.72,74,29,21.18
195,Walvis Bay,NA,2023-02-26 06:03:47,-22.9575,14.5053,65.35,82,100,3.44
196,Montbrison,FR,2023-02-26 06:03:47,45.6667,4.0833,30.58,81,60,14.97
197,Mattru,SL,2023-02-26 06:03:48,7.6244,-11.8332,71.83,99,85,2.64
198,Teguldet,RU,2023-02-26 06:03:48,57.3064,88.1667,12.02,91,100,11.65
199,Road Town,VG,2023-02-26 06:03:49,18.4167,-64.6167,75.83,67,22,15.52
200,Zharkent,KZ,2023-02-26 06:03:49,44.1628,80.0,32.49,71,60,6.73
201,Mahajanga,MG,2023-02-26 06:03:50,-15.7167,46.3167,84.22,70,20,9.22
202,Tambura,SS,2023-02-26 06:03:50,5.6,27.4667,83.12,27,100,1.48
203,Angoche,MZ,2023-02-26 06:03:51,-16.2325,39.9086,81.81,75,99,12.24
204,Belmonte,BR,2023-02-26 06:03:52,-15.8631,-38.8828,75.88,84,14,3.4
205,Valparaiso,CL,2023-02-26 06:00:34,-33.0393,-71.6273,55.04,87,0,3.44
206,Abu Samrah,SY,2023-02-26 06:03:53,35.3029,37.1841,54.0,58,6,8.28
207,Oranjestad,AW,2023-02-26 06:00:18,12.524,-70.027,76.95,78,20,13.8
208,Raga,SS,2023-02-26 06:03:54,8.4596,25.678,79.65,18,98,4.0
209,Villeparisis,FR,2023-02-26 06:03:55,48.9421,2.6146,33.89,74,0,6.91
210,Turkistan,KZ,2023-02-26 05:59:30,43.0,68.0,37.96,51,2,19.89
211,Constitucion,CL,2023-02-26 06:00:57,-35.3333,-72.4167,59.4,58,0,8.21
212,Baie-Saint-Paul,CA,2023-02-26 06:03:56,47.4411,-70.4986,-1.35,92,74,5.1
213,Kokkola,FI,2023-02-26 06:03:57,63.8385,23.1307,9.93,88,0,1.14
214,Cidreira,BR,2023-02-26 06:03:58,-30.1811,-50.2056,71.55,70,62,10.11
215,Novyye Lyady,RU,2023-02-26 06:03:58,58.0536,56.6039,25.84,93,100,8.37
216,Kemalpasa,TR,2023-02-26 06:01:19,38.4262,27.4173,46.98,82,54,5.55
217,Antanifotsy,MG,2023-02-26 06:03:59,-19.65,47.3167,66.9,65,35,4.18
218,Araguari,BR,2023-02-26 06:04:00,-18.6472,-48.1872,68.29,91,100,2.66
219,Zhezkazgan,KZ,2023-02-26 06:04:00,47.8043,67.7144,3.18,78,20,6.71
220,Awbari,LY,2023-02-26 06:04:01,26.5921,12.7805,62.55,24,73,7.43
221,Chuy,UY,2023-02-26 06:04:02,-33.6971,-53.4616,63.03,95,61,6.87
222,Rio Gallegos,AR,2023-02-26 06:04:02,-51.6226,-69.2181,48.25,71,0,14.97
223,Saint George,US,2023-02-26 06:04:03,37.1041,-113.5841,49.42,67,20,20.71
224,Inongo,CD,2023-02-26 06:04:04,-1.95,18.2667,72.66,90,98,3.6
225,Dombas,NO,2023-02-26 06:04:04,62.0696,9.1235,15.75,91,84,7.56
226,Ovalle,CL,2023-02-26 05:59:26,-30.5983,-71.2003,69.33,58,0,1.79
227,Kaduna,NG,2023-02-26 06:00:13,10.5222,7.4383,68.07,16,97,6.13
228,Lujan,AR,2023-02-26 06:04:43,-34.5703,-59.105,69.94,82,6,1.01
