City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
206,Spas-Demensk,RU,54.4122,34.0226,8.24,98,93,4.61,overcast clouds
207,Jabinyanah,TN,35.035,10.9081,62.4,80,100,14.54,overcast clouds
208,Bougouni,ML,11.417,-7.479,77.32,11,97,4.45,overcast clouds
209,Kerteminde,DK,55.449,10.6577,33.73,86,100,8.32,overcast clouds
210,Leh,IN,34.1667,77.5833,16.47,46,0,2.15,clear sky
211,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,75.18,85,19,4.52,few clouds
212,Schela,RO,45.5,27.8167,49.6,71,16,6.46,few clouds
213,Sevierville,US,35.8681,-83.5618,53.24,76,100,0.0,haze
214,Vestmannaeyjar,IS,63.4427,-20.2734,23.2,53,30,15.41,scattered clouds
215,Plettenberg Bay,ZA,-34.0527,23.3716,62.22,85,0,3.98,clear sky
216,Araouane,ML,18.9048,-3.5265,72.0,8,0,10.56,clear sky
217,Salamiyah,SY,35.0113,37.0532,47.39,82,83,8.72,broken clouds
218,Casma,CL,-41.0082,-73.1244,58.28,99,100,4.45,overcast clouds
219,Ozinki,RU,51.1786,49.6769,35.91,94,78,13.2,broken clouds
220,Serenje,ZM,-13.2325,30.2352,59.25,94,100,1.54,overcast clouds
221,Skoczow,PL,49.8009,18.7877,45.84,94,88,9.1,overcast clouds
222,Abu Samrah,SY,35.3029,37.1841,47.73,90,88,7.05,overcast clouds
223,Ambanja,MG,-13.6833,48.45,73.33,82,99,2.44,overcast clouds
224,Olafsvik,IS,64.8945,-23.7142,22.44,64,71,26.46,broken clouds
225,Khipro,PK,25.8285,69.3772,82.87,22,31,5.55,scattered clouds
226,Sept-Iles,CA,50.2001,-66.3821,34.23,65,20,9.22,few clouds
227,Niono,ML,14.2526,-5.993,75.7,10,0,8.95,clear sky
228,Paonta Sahib,IN,30.45,77.6167,77.65,24,0,1.39,clear sky
229,George,ZA,-33.963,22.4617,58.55,94,0,2.3,clear sky
230,Quatre Cocos,MU,-20.2078,57.7625,76.08,85,100,11.77,light rain
231,Mehriz,IR,31.5917,54.4318,61.3,44,100,7.85,overcast clouds
232,Lulea,SE,65.5842,22.1547,21.27,58,20,5.75,few clouds
233,Grand Gaube,MU,-20.0064,57.6608,76.37,89,100,1.01,light rain
234,Sabzevar,IR,36.2126,57.6819,56.48,67,75,9.22,light rain
235,Reconquista,AR,-29.15,-59.65,77.38,56,0,6.13,clear sky
236,Sabanalarga,CO,10.6296,-74.9206,76.08,80,32,11.99,scattered clouds
237,Toila,EE,59.4236,27.5025,12.49,88,91,10.29,overcast clouds
238,Zherdevka,RU,51.8486,41.4606,39.47,83,100,17.49,overcast clouds
239,Atar,MR,20.5169,-13.0499,72.5,19,0,8.86,clear sky
240,Belaya Glina,RU,46.07,40.86,45.46,82,100,8.32,overcast clouds
241,Karasjok,NO,69.4719,25.5112,-3.44,100,100,4.29,overcast clouds
242,Klyuchi,RU,52.2667,79.1667,26.94,76,45,9.4,scattered clouds
243,Taltal,CL,-25.4,-70.4833,67.95,86,9,1.39,clear sky
244,Locri,IT,38.2414,16.2623,60.31,69,100,5.17,overcast clouds
245,Izhma,RU,65.0083,53.9113,17.38,90,95,9.22,overcast clouds
246,Zhezkazgan,KZ,47.8043,67.7144,21.18,93,20,13.42,few clouds
247,Tabory,RU,58.5198,64.5495,34.5,95,100,11.16,overcast clouds
248,El Puerto De Santa Maria,ES,36.5939,-6.233,58.6,97,40,4.61,mist
249,Touros,BR,-5.1989,-35.4608,78.33,80,90,10.63,overcast clouds
250,Marsaxlokk,MT,35.8419,14.5431,59.61,77,0,5.75,clear sky
251,Kutum,SD,14.2,24.6667,63.03,16,98,8.14,overcast clouds
252,Garhi Khairo,PK,28.0606,67.9803,80.11,15,100,2.95,overcast clouds
253,Methoni,GR,36.8197,21.7049,54.21,86,48,2.95,scattered clouds
254,Morondava,MG,-20.2833,44.2833,76.46,90,100,12.12,moderate rain
255,Cayenne,GF,4.9333,-52.3333,75.24,88,0,0.0,clear sky
256,Castro,BR,-24.7911,-50.0119,62.24,98,100,2.3,overcast clouds
257,Goure,NE,13.9835,10.2704,75.18,15,78,8.05,broken clouds
258,Khurai,IN,24.0436,78.3319,77.14,26,0,2.04,clear sky
259,Chancay,PE,-11.5714,-77.2672,74.66,77,100,3.13,overcast clouds
260,Matucana,PE,-11.85,-76.4,59.05,94,100,1.05,overcast clouds
261,Alora,ES,36.8236,-4.7058,56.64,89,77,5.35,broken clouds
262,Barranca,PE,-10.75,-77.7667,74.46,75,100,4.21,overcast clouds
263,Viedma,AR,-40.8135,-62.9967,66.13,68,100,14.14,overcast clouds
264,Salisbury,GB,51.0693,-1.7957,45.45,95,100,17.27,light rain
265,Yar-Sale,RU,66.8333,70.8333,10.36,93,100,18.32,overcast clouds
266,Asyut,EG,27.181,31.1837,57.38,31,0,1.81,clear sky
267,Borova,UA,50.1763,30.1043,31.33,83,96,7.29,overcast clouds
268,Tambopata,PE,-12.7333,-69.1833,73.17,99,100,1.34,overcast clouds
269,Yanam,IN,16.7333,82.2167,87.22,43,87,5.26,overcast clouds
270,Lokosovo,RU,61.1333,74.8167,21.87,92,100,14.16,overcast clouds
271,Southport,GB,53.6478,-3.0065,34.09,91,100,18.41,snow
272,Edeia,BR,-17.3383,-49.9314,69.51,90,100,1.77,overcast clouds
273,Irmo,US,34.086,-81.1832,59.94,51,100,4.61,overcast clouds
274,Yenagoa,NG,4.9247,6.2642,77.14,92,34,3.29,scattered clouds
275,Mariental,NA,-24.6333,17.9667,67.69,23,1,5.17,clear sky
276,Port Charlotte,US,26.9762,-82.0906,71.02,82,33,11.99,scattered clouds
277,Kant,IN,27.8,79.8,79.11,29,1,6.58,clear sky
278,Ayame,CI,5.6083,-3.1563,75.33,94,97,2.66,overcast clouds
279,Zaranj,AF,30.9667,61.8833,55.36,20,100,6.76,overcast clouds
280,Cockburn Town,TC,21.4612,-71.1419,73.81,61,27,17.0,scattered clouds
281,Ratnagiri,IN,16.9833,73.3,88.86,32,1,4.88,clear sky
282,Hirson,FR,49.9226,4.0826,48.85,90,82,17.36,broken clouds
283,Koran,BA,43.8103,18.5689,36.91,100,75,1.14,light rain
284,Ovalle,CL,-30.5983,-71.2003,69.4,69,0,2.3,clear sky
285,San Pedro,PH,14.35,121.0167,87.31,60,75,5.75,broken clouds
286,Tombouctou,ML,20.0,-3.0,72.63,9,0,11.81,clear sky
287,Baherden,TM,38.4362,57.4316,62.56,62,99,10.87,light rain
288,Katete,UG,-0.7818,29.7544,60.84,91,100,2.82,overcast clouds
289,Odesskoye,RU,54.2111,72.9651,19.29,80,100,11.79,overcast clouds
290,Uray,RU,60.1247,64.7758,33.4,97,100,10.56,overcast clouds
291,Moultrie,US,31.1799,-83.7891,67.82,56,86,5.28,overcast clouds
292,Marawi,PH,7.9986,124.2928,76.17,75,51,7.67,broken clouds
293,Shushtar,IR,32.0455,48.8567,64.17,78,96,2.39,overcast clouds
294,Balaka,MW,-14.9793,34.9558,66.24,96,86,3.22,overcast clouds
295,Roald,NO,62.5833,6.1333,25.09,68,100,14.97,light snow
296,Dhuburi,IN,26.0333,89.9667,84.6,21,49,2.62,scattered clouds
297,Piacabucu,BR,-10.4056,-36.4344,76.87,75,64,5.7,broken clouds
298,Qazigund,IN,33.6333,75.15,49.91,43,2,3.24,clear sky
299,Odweyne,SO,9.4092,45.064,65.79,81,70,9.04,broken clouds
300,Saint Anthony,US,45.0205,-93.218,31.24,92,100,5.75,light snow
301,Hambantota,LK,6.1241,81.1185,80.94,89,20,8.05,moderate rain
302,The Valley,AI,18.217,-63.0578,76.86,73,24,15.23,few clouds
303,Gumdag,TM,39.2061,54.5906,56.93,70,100,7.2,overcast clouds
304,Soavinandriana,MG,-19.1667,46.7333,60.94,95,100,2.08,overcast clouds
305,Coro,VE,11.4045,-69.6734,75.36,88,99,8.46,overcast clouds
306,Zambezi,ZM,-13.5432,23.1047,64.08,91,87,3.71,overcast clouds
307,Grindavik,IS,63.8424,-22.4338,21.67,68,40,12.66,scattered clouds
308,Obo,CF,5.3998,26.4869,70.54,83,90,3.58,overcast clouds
309,Birao,CF,10.2849,22.7882,78.22,14,100,6.02,overcast clouds
310,Novouzensk,RU,50.4592,48.1431,39.02,90,42,11.65,scattered clouds
311,San Francisco,US,37.7749,-122.4194,54.48,91,100,25.99,moderate rain
312,Saint-Joseph,RE,-21.3667,55.6167,75.47,87,57,12.33,light rain
313,Ancud,CL,-41.8697,-73.8203,54.55,96,100,7.78,light rain
314,Brae,GB,60.3964,-1.353,32.99,69,100,7.49,light snow
315,Keti Bandar,PK,24.1447,67.4497,80.19,48,97,5.32,overcast clouds
316,Nouadhibou,MR,20.931,-17.0347,66.18,72,0,19.57,clear sky
317,Digby,CA,44.6169,-65.7655,27.55,80,89,12.28,overcast clouds
318,Nuuk,GL,64.1835,-51.7216,20.46,87,87,6.69,overcast clouds
319,Wilmington,US,34.2257,-77.9447,51.71,59,99,1.01,overcast clouds
320,Baft,IR,29.234,56.6057,50.81,40,100,2.35,overcast clouds
321,Kyabe,TD,9.4515,18.9449,80.89,47,100,2.13,overcast clouds
322,Dobele,LV,56.625,23.2786,19.06,90,6,5.08,clear sky
323,Kiruna,SE,67.8557,20.2251,9.52,79,20,8.05,few clouds
324,Den Helder,NL,52.9599,4.7593,35.98,94,75,20.0,moderate rain
